graph,epsilon,stored node count,stored edge count,stored boundary edge count,face count,node count,edge count
aegaeis10-ref-projected,8.0,529765,1411735,202637,873611,6755045,72866587
aegaeis10-ref-projected,4.0,529765,1411735,202637,873611,8326503,110507347
aegaeis10-ref-projected,2.0,529765,1411735,202637,873611,10630616,189158843
aegaeis10-ref-projected,1.0,529765,1411735,202637,873611,14846927,421727636
aegaeis10-ref-projected,1/2,529765,1411735,202637,873611,30487922,1826549303
aegaeis10-ref-projected,1/4,529765,1411735,202637,873611,67027999,8862120541
aegaeis10-ref-projected,1/8,529765,1411735,202637,873611,152216346,44977273646
aegaeis10-ref-projected,1/16,529765,1411735,202637,873611,347433872,229577743231
aegaeis10-ref-projected,1/32,529765,1411735,202637,873611,788635366,1159497621326
aegaeis10-ref-projected,1/64,529765,1411735,202637,873611,1773663592,5762553027919
aegaeis10-ref-projected,1/128,529765,1411735,202637,873611,3949849728,28155977609774
aegaeis10-ref-projected,1/256,529765,1411735,202637,873611,8715589862,118293151237084
pata-ref,4.0,2240339,5816450,1002223,3543559,33499600,421484188
pata-ref,2.0,2240339,5816450,1002223,3543559,42234624,679026383
pata-ref,1.0,2240339,5816450,1002223,3543559,57824363,1370525110
pata-ref,1/2,2240339,5816450,1002223,3543559,118102662,5752271033
pata-ref,1/4,2240339,5816450,1002223,3543559,259175420,27663916574
pata-ref,1/8,2240339,5816450,1002223,3543559,589240069,141084134742
pata-ref,1/16,2240339,5816450,1002223,3543559,1347539741,726922507375
pata-ref,1/32,2240339,5816450,1002223,3543559,3065015416,3708789450004
pata-ref,1/64,2240339,5816450,1002223,3543559,6906159295,18605835721333
pata-ref,1/128,2240339,5816450,1002223,3543559,15404598943,91655791614810
pata-ref,1/256,2240339,5816450,1002223,3543559,34038111284,419521436893906
