graph,epsilon,stored node count,stored edge count,node count,edge count
aegaeis10-ref,8,556965,1411735,6875827,78468015
aegaeis10-ref,4,556965,1411735,8635949,138400637
aegaeis10-ref,2,556965,1411735,11370779,331399479
aegaeis10-ref,1,556965,1411735,16535525,1133834317
aegaeis10-ref,1/2,556965,1411735,34438574,5597863225
aegaeis10-ref,1/4,556965,1411735,76102555,28338038002
aegaeis10-ref,1/8,556965,1411735,172657068,143097172257
aegaeis10-ref,1/16,556965,1411735,392970681,713457991693
aegaeis10-ref,1/32,556965,1411735,888983158,3501523417211
aegaeis10-ref,1/64,556965,1411735,1992866405,13387969258150
aegaeis10-ref,1/128,556965,1411735,4099593107,30900181622710
aegaeis10-ref,1/256,556965,1411735,8616131685,112639095491174
pata-ref,4,2303943,5816450,34124509,473565508
pata-ref,2,2240339,5816450,43723835,942165053
pata-ref,1,2240339,5816450,61233954,2676216330
pata-ref,1/2,2240339,5816450,126050677,12647163844
pata-ref,1/4,2240339,5816450,277454111,63213544427
pata-ref,1/8,2240339,5816450,630361413,319960637212
pata-ref,1/16,2240339,5816450,1439182781,1608387489791
pata-ref,1/32,2240339,5816450,3267059078,7972837623738
pata-ref,1/64,2240339,5816450,7347519372,34977761462090
pata-ref,1/128,2240339,5816450,15729771594,98218035598262
pata-ref,1/256,2240339,5816450,33863294652,402591293590471
medi-ref,4,826150,2091254,12742495,200997379
medi-ref,2,826150,2091254,16725248,473191727
medi-ref,1,826150,2091254,24235843,1595988332
medi-ref,1/2,826150,2091254,50411056,7854237825
medi-ref,1/4,826150,2091254,111354135,39722719570
medi-ref,1/8,826150,2091254,252664236,200609072947
medi-ref,1/16,826150,2091254,575243412,1000728263595
medi-ref,1/32,826150,2091254,1301756802,4914629421345
medi-ref,1/64,826150,2091254,2919116334,19200824193845
medi-ref,1/128,826150,2091254,6030604941,44554180760986
medi-ref,1/256,826150,2091254,12708018129,164546744097748
